0.01s - 7.28s | Speaker SPEAKER_01
8.23s - 12.02s | Speaker SPEAKER_01
13.1s - 17.12s | Speaker SPEAKER_01
19.8s - 67.26s | Speaker SPEAKER_00
68.66s - 86.03s | Speaker SPEAKER_01
87.02s - 92.55s | Speaker SPEAKER_00
95.76s - 96.94s | Speaker SPEAKER_00
99.45s - 100.62s | Speaker SPEAKER_01
100.62s - 102.48s | Speaker SPEAKER_00
104.62s - 115.88s | Speaker SPEAKER_00
117.52s - 118.05s | Speaker SPEAKER_00
119.0s - 129.45s | Speaker SPEAKER_00
143.3s - 155.93s | Speaker SPEAKER_00
160.3s - 213.66s | Speaker SPEAKER_00
214.63s - 242.11s | Speaker SPEAKER_00
242.88s - 321.44s | Speaker SPEAKER_00
322.48s - 327.33s | Speaker SPEAKER_01
328.95s - 329.92s | Speaker SPEAKER_00
330.57s - 331.99s | Speaker SPEAKER_00
332.55s - 332.89s | Speaker SPEAKER_01
339.24s - 352.16s | Speaker SPEAKER_00
362.93s - 371.85s | Speaker SPEAKER_00
373.2s - 373.68s | Speaker SPEAKER_00
384.65s - 392.99s | Speaker SPEAKER_00
