query,source,author,title,description,url,publishedAt,content,similarity,publishedAt_dt,is_clickbait_candidate,is_clickbait_bottom5pct
India,The Times of India,Chidanand Rajghatta,"ukrainian president volodymyr zelenskyy gets dressing down before white house meeting, virtually told to surrender","Donald Trump has urged Ukraine to cede territory to Russia and abandon NATO aspirations ahead of President Zelensky's White House visit. Trump's stance, seen as pro-Russia, contrasts with European leaders seeking security guarantees for Ukraine. While a poten…",https://timesofindia.indiatimes.com/world/us/zelenskyy-gets-dressing-down-before-wh-meeting-virtually-told-to-surrender/articleshow/123369384.cms,2025-08-18T17:02:16Z,8 simple habits that will help reduce stress on the eyes and improve vision naturally,-0.025685377,2025-08-18 17:02:16+00:00,True,True
India,The Times of India,etimes.in,"rajinikanth's 'coolie' crosses rs 200 crore on monday, while hrithik roshan, jr ntr's 'war 2' sees a huge drop","Rajinikanth's 'Coolie,' despite a star-studded cast and Lokesh Kanagaraj's direction, opened strong with ₹65 crore in India and crossed ₹100 crore worldwide. However, mixed reviews led to a drop in collections from day two. Despite the dip, the film managed t…",https://timesofindia.indiatimes.com/entertainment/tamil/movies/box-office/rajinikanths-coolie-crosses-rs-200-crore-on-monday-while-hrithik-roshan-jr-ntrs-war-2-sees-a-huge-drop/articleshow/123368995.cms,2025-08-18T16:42:12Z,8 simple habits that will help reduce stress on the eyes and improve vision naturally,0.0233898,2025-08-18 16:42:12+00:00,True,True
India,Rlsbb.cc,saamaan1@yahoo.com (Master),dexpose india - september 2025 / march 2026,"World-class men's magazine of uncompromising quality and scope, providing insights art and illusion of men's world. Dexpose is the lifestyle resource for men from casual to couture and the latest information about the lifestyle, automotive and gadgets.Dexpose…",https://post.rlsbb.cc/dexpose-india-september-2025-march-2026/,2025-08-18T16:35:26Z,"world-class men's magazine of uncompromising quality and scope, providing insights art and illusion of men's world. dexpose is the lifestyle resource for men from casual to couture and the latest inf… [+157 chars]",0.39800245,2025-08-18 16:35:26+00:00,True,False
India,Memeorandum.com,,india's oil lobby is funding putin's war machine — that has to stop (peter navarro/financial times),"Peter Navarro / Financial Times:
India's oil lobby is funding Putin's war machine — that has to stop  —  Its dependence on Russian crude undermines the effort to isolate Moscow  —  The writer is the White House counsellor for trade and manufacturing  —  Here'…",https://www.memeorandum.com/250818/p71,2025-08-18T16:30:01Z,"memeorandum is an auto-generated summary of the stories that us political commentators are discussing online right now. unlike sister sites techmeme and mediagazer, it is not a human-edited news out… [+72 chars]",0.19357947,2025-08-18 16:30:01+00:00,True,False
India,The Times of India,Gaurav Gupta,"‘we’ve got to think about bumrah for the next 2-3 years, not next series’: former team india physio",Former Team India physio John Gloster shares insights on managing Jasprit Bumrah's workload. He emphasizes the importance of long-term planning for Bumrah's career. Gloster highlights Bumrah's support system and his positive return from injury. He suggests pr…,https://timesofindia.indiatimes.com/sports/cricket/news/weve-got-to-think-about-jasprit-bumrah-for-the-next-2-3-years-not-next-series-former-team-india-physio/articleshow/123368556.cms,2025-08-18T16:29:36Z,8 times samantha ruth prabhu turned perfect muse for kresha bajaj,0.34048802,2025-08-18 16:29:36+00:00,True,False
India,Foreign Policy,Matthew Kroenig,"to get peace in ukraine, trump should play the nuclear card",The White House needs to learn from the Kremlin’s success with nuclear blackmail.,http://foreignpolicy.com/2025/08/18/trump-putin-summit-ukraine-war-peace-nuclear/,2025-08-18T16:25:54Z,"when u.s. president donald trump and russian president vladimir putin met in anchorage, alaska, on aug. 15, putin was greeted by a flyover of an american b-2 strategic bomber. such flyovers can be a … [+7538 chars]",0.3090495,2025-08-18 16:25:54+00:00,True,False
India,Rlsbb.cc,saamaan1@yahoo.com (Master),"india today - august 25, 2025","India Today is the leading news magazine and most widely read publication in India. The magazine’s leadership is unquestioned, so much so that India Today is what Indian journalism is judged by, for its integrity and ability to bring unbiased and incisive per…",https://post.rlsbb.cc/india-today-august-25-2025/,2025-08-18T16:20:19Z,"india today is the leading news magazine and most widely read publication in india. the magazines leadership is unquestioned, so much so that india today is what indian journalism is judged by, for i… [+542 chars]",0.38604882,2025-08-18 16:20:19+00:00,True,False
India,Ndtvprofit.com,PTI,building world's largest renewable energy park in kutch district: gautam adani at iit-kharagpur,"Adani Group chairman Gautam Adani on Monday said India will lead the world in renewable energy within the next five years. Speaking at the 75th foundation day of IIT Kharagpur, Adani highlighted India's goal to become the global leader in renewables by 2030.",https://www.ndtvprofit.com/business/building-worlds-largest-renewable-energy-park-in-kutch-district-gautam-adani-at-iit-kharagpur,2025-08-18T16:18:35Z,"about the role of iit kharagpur students, he said, ""imagine iit-kgp students co-developing ai-driven grid-balancing solutions, real-time predictive maintenance, and sector-wide optimisation tools."" … [+161 chars]",0.38822383,2025-08-18 16:18:35+00:00,True,False
India,Khabarhub.com,Khabarhub,today’s news in a nutshell,"KATHMANDU: Khabarhub brings you a glimpse of major developments of the day in Nepal, including politics, business/economy, sports, entertainment, and more. Durga Prasai speaks out after release, criticizes royalist leaders over Tinkune violence Durga Prasai, …",https://english.khabarhub.com/2025/18/491609/,2025-08-18T16:15:59Z,"kathmandu: khabarhub brings you a glimpse of major developments of the day in nepal, including politics, business/economy, sports, entertainment, and more. durga prasai speaks out after release, cri… [+12779 chars]",0.25816473,2025-08-18 16:15:59+00:00,True,False
India,The Indian Express,Venkata Krishna B,explained: what’s the controversy involving r ashwin and csk’s signing of dewald brevis?,Ashwin’s former teammate Anirudha Srikkanth criticised the former India all-rounder for discussing a teammate’s contract on public forum.,https://indianexpress.com/article/sports/cricket/explained-controversy-involving-ashwin-csks-signing-dewald-brevis-10197052/,2025-08-18T16:15:41Z,"last week, chennai super kings put an end to a controversy that erupted on social media after their all-rounder r ashwin had revealed that the franchise was willing to pay extra to sign south africas… [+5385 chars]",0.44128066,2025-08-18 16:15:41+00:00,True,False
