query,source,author,title,description,url,publishedAt,content
India,Boston Herald,Associated Press,Over 150 people are still missing after devastating flooding in northwest Pakistan,"A changing climate has made northern Pakistan’s mountainous areas more vulnerable to sudden, heavy rains.",https://www.bostonherald.com/2025/08/18/pakistan-floods-missing/,2025-08-18T17:02:35Z,"By RIAZ KHAN
PESHAWAR, Pakistan (AP) Anguished Pakistanis searched remote areas for bodies swept away by weekend flash floods as the death toll reached 277 on Monday, while one official replied to t… [+4047 chars]"
India,The Times of India,Chidanand Rajghatta,"Ukrainian President Volodymyr Zelenskyy gets dressing down before White House meeting, virtually told to surrender","Donald Trump has urged Ukraine to cede territory to Russia and abandon NATO aspirations ahead of President Zelensky's White House visit. Trump's stance, seen as pro-Russia, contrasts with European leaders seeking security guarantees for Ukraine. While a poten…",https://timesofindia.indiatimes.com/world/us/zelenskyy-gets-dressing-down-before-wh-meeting-virtually-told-to-surrender/articleshow/123369384.cms,2025-08-18T17:02:16Z,8 simple habits that will help reduce stress on the eyes and improve vision naturally
India,Antiwar.com,Dan Steinbock,The West’s Long Struggle Against Genocide Prevention: Obliteration and Complicity,"Dr. Steinbock’s highly topical new book The Obliteration Doctrine is about the genocide in Gaza, the West’s complicity and long struggle against genocide prevention. In this Q&A with Dr. Steinbock, we will focus on just a few themes of the his highly topical …",https://www.antiwar.com/blog/2025/08/18/the-wests-long-struggle-against-genocide-prevention-obliteration-and-complicity/,2025-08-18T17:00:22Z,"Dr. Steinbocks highly topical new book The Obliteration Doctrine is about the genocide in Gaza, the Wests complicity and long struggle against genocide prevention. In this Q&amp;A with Dr. Steinbock,… [+18185 chars]"
India,Livemint,Govind Choudhary,Amazon India launches massive recruitment drive: Over 1.5 lakh seasonal jobs created ahead of festive season,"Amazon India is creating over 150,000 seasonal positions across its operations in more than 400 cities for the festive season.&nbsp;",https://www.livemint.com/companies/amazon-india-launches-massive-recruitment-drive-over-1-5-lakh-seasonal-jobs-created-ahead-of-festive-season-11755535663390.html,2025-08-18T16:59:35Z,"Amazon India has announced the creation of more than 150,000 seasonal positions across its operations network, including fulfilment centres, sort centres, and last-mile delivery stations, as the comp… [+1952 chars]"
India,PBS,"Josh Boak, Associated Press, Samya Kullab, Associated Press",Zelenskyy and Europe’s top leaders to meet with Trump on ending Russia’s war,"By arriving as a group Monday, they hope to avoid debacles like Zelenskyy's February meeting in the Oval Office, where Trump chastised him for not showing enough gratitude for military aid.",https://www.pbs.org/newshour/world/zelenskyy-and-europes-top-leaders-to-meet-with-trump-on-ending-russias-war,2025-08-18T16:59:31Z,WASHINGTON (AP) Ukraine’s future could hinge on a hastily assembled meeting Monday at the White House as President Volodymyr Zelenskyy brings an extraordinary group of European leaders to show U.S. P… [+7590 chars]
India,SamMobile,Adnan Farooqui,Galaxy A17 5G launch in India likely taking place on August 29,"It's been known for a while now that Samsung is going to launch the Galaxy A17 5G in one of its most important markets, India, in the near future. New information has surfaced that suggests this device might be launched in the country before the end of this m…",https://www.sammobile.com/news/galaxy-a17-5g-launch-in-india-likely-taking-place-on-august-29/,2025-08-18T16:59:02Z,"It's been known for a while now that Samsung is going to launch the Galaxy A17 5G in one of its most important markets, India, in the near future. 
New information has surfaced that suggests this de… [+1197 chars]"
India,The Times of India,PTI,Rahul Gandhi trying to create chaos in India by any means: Assam CM Himanta,Assam Chief Minister Himanta Biswa Sarma criticized Congress leader Rahul Gandhi. Sarma accused Gandhi of creating chaos in India. He alleged Congress supported Pakistan in parliament. Sarma mocked Assam Congress President Gaurav Gogoi. He addressed ongoing e…,https://economictimes.indiatimes.com/news/politics-and-nation/rahul-gandhi-trying-to-create-chaos-in-india-by-any-means-assam-cm-himanta/articleshow/123369506.cms,2025-08-18T16:58:25Z,"Assam Chief Minister Himanta Biswa Sarma on Monday attacked Congress leader Rahul Gandhi and said the opposition leader is ""trying to create chaos"" in the country ""by any means"".The CM also asserted … [+1869 chars]"
India,The Times of India,etimes.in,"Rajinikanth's 'Coolie' crosses Rs 200 crore on Monday, while Hrithik Roshan, Jr NTR's 'WAR 2' sees a huge drop","Rajinikanth's 'Coolie,' despite a star-studded cast and Lokesh Kanagaraj's direction, opened strong with ₹65 crore in India and crossed ₹100 crore worldwide. However, mixed reviews led to a drop in collections from day two. Despite the dip, the film managed t…",https://timesofindia.indiatimes.com/entertainment/tamil/movies/box-office/rajinikanths-coolie-crosses-rs-200-crore-on-monday-while-hrithik-roshan-jr-ntrs-war-2-sees-a-huge-drop/articleshow/123368995.cms,2025-08-18T16:42:12Z,8 simple habits that will help reduce stress on the eyes and improve vision naturally
India,BBC News,Henry Moeran,Women's Hundred can't lose momentum with investment - Sciver-Brunt,England captain Nat Sciver-Brunt calls for growth in The Hundred women's competition to continue and is keen that momentum is not lost with the arrival of private investment.,https://www.bbc.com/sport/cricket/articles/czxy1zd08ezo,2025-08-18T16:39:49Z,"England captain Nat Sciver-Brunt has called for growth in The Hundred women's competition to continue, and is keen that momentum is not lost with the arrival of private investment in the tournament.… [+973 chars]"
India,Foreign Policy,Keith Johnson,How Europe Can Pressure Putin—Without Trump,"Now that Trump appears to have sworn off additional economic sanctions to push Russia into a cease-fire, Europe may have to go it alone.",http://foreignpolicy.com/2025/08/18/europe-putin-trump-russia-ukraine-defense/,2025-08-18T16:35:29Z,"U.S. President Donald Trump, fresh off his Alaska meeting last week with Russian President Vladimir Putin, seems to have cooled on the idea of pressuring Moscow to end the war it started in Ukraine, … [+5671 chars]"
India,Rlsbb.cc,saamaan1@yahoo.com (Master),Dexpose India - September 2025 / March 2026,"World-class men's magazine of uncompromising quality and scope, providing insights art and illusion of men's world. Dexpose is the lifestyle resource for men from casual to couture and the latest information about the lifestyle, automotive and gadgets.Dexpose…",https://post.rlsbb.cc/dexpose-india-september-2025-march-2026/,2025-08-18T16:35:26Z,"World-class men's magazine of uncompromising quality and scope, providing insights art and illusion of men's world. Dexpose is the lifestyle resource for men from casual to couture and the latest inf… [+157 chars]"
India,The Times of India,PTI,Smartwatches drag India wearable market down for 5th straight quarter to 26.7 mn: IDC,"India's wearable market saw a dip. Sales fell by 9.4 per cent in April-June. Smartwatch and earbud supplies decreased. Boat led the market, followed by Noise and GoBoult. Smart rings and glasses gained traction. The average selling price increased slightly. S…",https://economictimes.indiatimes.com/industry/cons-products/fashion-/-cosmetics-/-jewellery/smartwatches-drag-india-wearable-market-down-for-5th-straight-quarter-to-26-7-mn-idc/articleshow/123368940.cms,2025-08-18T16:32:53Z,"The Indian wearable market declined for the fifth consecutive quarter, with sales falling by 9.4 per cent to 26.7 million units in the April-June period due to a dip in supplies of smartwatches and t… [+3344 chars]"
India,The Indian Express,Hitesh Vyas,Foreign liabilities of MFs rose 19.9% to $30.5 bn in 2024-25: RBI survey,"The non-residents of other countries that own a large share of domestic MF units, in face value terms, include the United States of America (USA) – 11.2 per cent, the United Kingdom (UK) – 10.8, and Singapore – 6.6 per cent.",https://indianexpress.com/article/business/foreign-liabilities-of-mfs-rose-19-9-to-30-5-bn-in-2024-25-rbi-survey-10197101/,2025-08-18T16:31:11Z,"Domestic mutual fund industrys foreign liabilities surged 19.9 per cent to $30.5 billion, in market value terms during financial year 2025, primarily driven by an increase in units issued to non-resi… [+1778 chars]"
India,Syllad.com,Syllad | The Rising Meghalaya,"Pynlong jingiakhih ka NESO ha ki jylla NE, dawa pyrkhing ia ka jingwan rung ki mynder Bangladesh",Ka North East Student Organizations (NESO) ha ka 18 tarik Nailar ka la pynlong da ka jingiakhih shong kyllain mungor ha baroh ki nongbah jong ki jylla ka thain Shatei Lammihngi kynthup ha Meghalaya ban pynbor ia ka sorkar India bad ki sorkar Jylla ban shim da…,https://www.syllad.com/pynlong-jingiakhih-ka-neso-ha-ki-jylla-ne-dawa-pyrkhing-ia-ka-jingwan-rung-ki-mynder-bangladesh/,2025-08-18T16:30:05Z,"Syllad | The Rising MeghalayaAugust 18, 2025
Ka North East Student Organizations (NESO) ha ka 18 tarik Nailar ka la pynlong da ka jingiakhih shong kyllain mungor ha baroh ki nongbah jong ki jylla ka… [+3402 chars]"
India,Memeorandum.com,,India's oil lobby is funding Putin's war machine — that has to stop (Peter Navarro/Financial Times),"Peter Navarro / Financial Times:
India's oil lobby is funding Putin's war machine — that has to stop  —  Its dependence on Russian crude undermines the effort to isolate Moscow  —  The writer is the White House counsellor for trade and manufacturing  —  Here'…",https://www.memeorandum.com/250818/p71,2025-08-18T16:30:01Z,"memeorandum is an auto-generated summary of the stories that US political commentators are discussing online right now.
Unlike sister sites Techmeme and Mediagazer, it is not a human-edited news out… [+72 chars]"
India,The Times of India,Gaurav Gupta,"‘We’ve got to think about Bumrah for the next 2-3 years, not next series’: Former Team India physio",Former Team India physio John Gloster shares insights on managing Jasprit Bumrah's workload. He emphasizes the importance of long-term planning for Bumrah's career. Gloster highlights Bumrah's support system and his positive return from injury. He suggests pr…,https://timesofindia.indiatimes.com/sports/cricket/news/weve-got-to-think-about-jasprit-bumrah-for-the-next-2-3-years-not-next-series-former-team-india-physio/articleshow/123368556.cms,2025-08-18T16:29:36Z,8 times Samantha Ruth Prabhu turned perfect muse for Kresha Bajaj
India,Foreign Policy,Matthew Kroenig,"To Get Peace in Ukraine, Trump Should Play the Nuclear Card",The White House needs to learn from the Kremlin’s success with nuclear blackmail.,http://foreignpolicy.com/2025/08/18/trump-putin-summit-ukraine-war-peace-nuclear/,2025-08-18T16:25:54Z,"When U.S. President Donald Trump and Russian President Vladimir Putin met in Anchorage, Alaska, on Aug. 15, Putin was greeted by a flyover of an American B-2 strategic bomber. Such flyovers can be a … [+7538 chars]"
India,Ndtvprofit.com,Bloomberg News,"China, India Seek Better Ties As US Policies Add To Uncertainty","China and India want better relations, India’s External Affairs Minister Subrahmanyam Jaishankar said, in the latest sign of a thaw between the Asian rivals as they push to normalize relations amid unpredictable US trade policies. The remarks were made at a b…",https://www.ndtvprofit.com/nation/china-india-seek-better-ties-as-us-policies-add-to-uncertainty,2025-08-18T16:22:16Z,"China and India want better relations, Indias External Affairs Minister Subrahmanyam Jaishankar said, in the latest sign of a thaw between the Asian rivals as they push to normalize relations amid un… [+1901 chars]"
India,Rlsbb.cc,saamaan1@yahoo.com (Master),"India Today - August 25, 2025","India Today is the leading news magazine and most widely read publication in India. The magazine’s leadership is unquestioned, so much so that India Today is what Indian journalism is judged by, for its integrity and ability to bring unbiased and incisive per…",https://post.rlsbb.cc/india-today-august-25-2025/,2025-08-18T16:20:19Z,"India Today is the leading news magazine and most widely read publication in India. The magazines leadership is unquestioned, so much so that India Today is what Indian journalism is judged by, for i… [+542 chars]"
India,Ndtvprofit.com,Bloomberg News,India's Deepest Tax-Cut Plan In Years To Spur Automobile Demand,"India is looking to slash a local tax on small cars to 18% while levies on premium cars may be pared to 40%, people familiar with the matter said, as the Narendra Modi-led government seeks to bolster consumption demand. Motorcycles of up to 350cc are also exp…",https://www.ndtvprofit.com/gst/goods-and-services-tax-india-deepest-tax-cut-plan-in-years-to-spur-automobile-demand,2025-08-18T16:18:59Z,"India is looking to slash a local tax on small cars to 18% while levies on premium cars may be pared to 40%, people familiar with the matter said, as the Narendra Modi-led government seeks to bolster… [+2240 chars]"
India,Ndtvprofit.com,PTI,Building World's Largest Renewable Energy Park In Kutch District: Gautam Adani At IIT-Kharagpur,"Adani Group chairman Gautam Adani on Monday said India will lead the world in renewable energy within the next five years. Speaking at the 75th foundation day of IIT Kharagpur, Adani highlighted India's goal to become the global leader in renewables by 2030.",https://www.ndtvprofit.com/business/building-worlds-largest-renewable-energy-park-in-kutch-district-gautam-adani-at-iit-kharagpur,2025-08-18T16:18:35Z,"About the role of IIT Kharagpur students, he said, ""Imagine IIT-KGP students co-developing AI-driven grid-balancing solutions, real-time predictive maintenance, and sector-wide optimisation tools."" … [+161 chars]"
India,Khabarhub.com,Khabarhub,Today’s News in a Nutshell,"KATHMANDU: Khabarhub brings you a glimpse of major developments of the day in Nepal, including politics, business/economy, sports, entertainment, and more. Durga Prasai speaks out after release, criticizes royalist leaders over Tinkune violence Durga Prasai, …",https://english.khabarhub.com/2025/18/491609/,2025-08-18T16:15:59Z,"KATHMANDU: Khabarhub brings you a glimpse of major developments of the day in Nepal, including politics, business/economy, sports, entertainment, and more.
Durga Prasai speaks out after release, cri… [+12779 chars]"
