query,source,author,title,description,url,publishedAt,content,similarity,publishedAt_dt,is_clickbait_candidate,is_clickbait_bottom5pct
India,Boston Herald,Associated Press,over 150 people are still missing after devastating flooding in northwest pakistan,"A changing climate has made northern Pakistan’s mountainous areas more vulnerable to sudden, heavy rains.",https://www.bostonherald.com/2025/08/18/pakistan-floods-missing/,2025-08-18T17:02:35Z,"by riaz khan peshawar, pakistan (ap) anguished pakistanis searched remote areas for bodies swept away by weekend flash floods as the death toll reached 277 on monday, while one official replied to t… [+4047 chars]",0.6362224,2025-08-18 17:02:35+00:00,False,False
India,The Times of India,Chidanand Rajghatta,"ukrainian president volodymyr zelenskyy gets dressing down before white house meeting, virtually told to surrender","Donald Trump has urged Ukraine to cede territory to Russia and abandon NATO aspirations ahead of President Zelensky's White House visit. Trump's stance, seen as pro-Russia, contrasts with European leaders seeking security guarantees for Ukraine. While a poten…",https://timesofindia.indiatimes.com/world/us/zelenskyy-gets-dressing-down-before-wh-meeting-virtually-told-to-surrender/articleshow/123369384.cms,2025-08-18T17:02:16Z,8 simple habits that will help reduce stress on the eyes and improve vision naturally,-0.025685377,2025-08-18 17:02:16+00:00,True,True
India,Antiwar.com,Dan Steinbock,the west’s long struggle against genocide prevention: obliteration and complicity,"Dr. Steinbock’s highly topical new book The Obliteration Doctrine is about the genocide in Gaza, the West’s complicity and long struggle against genocide prevention. In this Q&A with Dr. Steinbock, we will focus on just a few themes of the his highly topical …",https://www.antiwar.com/blog/2025/08/18/the-wests-long-struggle-against-genocide-prevention-obliteration-and-complicity/,2025-08-18T17:00:22Z,"dr. steinbocks highly topical new book the obliteration doctrine is about the genocide in gaza, the wests complicity and long struggle against genocide prevention. in this q&amp;a with dr. steinbock,… [+18185 chars]",0.589838,2025-08-18 17:00:22+00:00,False,False
India,Livemint,Govind Choudhary,amazon india launches massive recruitment drive: over 1.5 lakh seasonal jobs created ahead of festive season,"Amazon India is creating over 150,000 seasonal positions across its operations in more than 400 cities for the festive season.&nbsp;",https://www.livemint.com/companies/amazon-india-launches-massive-recruitment-drive-over-1-5-lakh-seasonal-jobs-created-ahead-of-festive-season-11755535663390.html,2025-08-18T16:59:35Z,"amazon india has announced the creation of more than 150,000 seasonal positions across its operations network, including fulfilment centres, sort centres, and last-mile delivery stations, as the comp… [+1952 chars]",0.7487504,2025-08-18 16:59:35+00:00,False,False
India,PBS,"Josh Boak, Associated Press, Samya Kullab, Associated Press",zelenskyy and europe’s top leaders to meet with trump on ending russia’s war,"By arriving as a group Monday, they hope to avoid debacles like Zelenskyy's February meeting in the Oval Office, where Trump chastised him for not showing enough gratitude for military aid.",https://www.pbs.org/newshour/world/zelenskyy-and-europes-top-leaders-to-meet-with-trump-on-ending-russias-war,2025-08-18T16:59:31Z,washington (ap) ukraine’s future could hinge on a hastily assembled meeting monday at the white house as president volodymyr zelenskyy brings an extraordinary group of european leaders to show u.s. p… [+7590 chars],0.59197664,2025-08-18 16:59:31+00:00,False,False
India,SamMobile,Adnan Farooqui,galaxy a17 5g launch in india likely taking place on august 29,"It's been known for a while now that Samsung is going to launch the Galaxy A17 5G in one of its most important markets, India, in the near future. New information has surfaced that suggests this device might be launched in the country before the end of this m…",https://www.sammobile.com/news/galaxy-a17-5g-launch-in-india-likely-taking-place-on-august-29/,2025-08-18T16:59:02Z,"it's been known for a while now that samsung is going to launch the galaxy a17 5g in one of its most important markets, india, in the near future. new information has surfaced that suggests this de… [+1197 chars]",0.6807982,2025-08-18 16:59:02+00:00,False,False
India,The Times of India,PTI,rahul gandhi trying to create chaos in india by any means: assam cm himanta,Assam Chief Minister Himanta Biswa Sarma criticized Congress leader Rahul Gandhi. Sarma accused Gandhi of creating chaos in India. He alleged Congress supported Pakistan in parliament. Sarma mocked Assam Congress President Gaurav Gogoi. He addressed ongoing e…,https://economictimes.indiatimes.com/news/politics-and-nation/rahul-gandhi-trying-to-create-chaos-in-india-by-any-means-assam-cm-himanta/articleshow/123369506.cms,2025-08-18T16:58:25Z,"assam chief minister himanta biswa sarma on monday attacked congress leader rahul gandhi and said the opposition leader is ""trying to create chaos"" in the country ""by any means"".the cm also asserted … [+1869 chars]",0.74189866,2025-08-18 16:58:25+00:00,False,False
India,The Times of India,etimes.in,"rajinikanth's 'coolie' crosses rs 200 crore on monday, while hrithik roshan, jr ntr's 'war 2' sees a huge drop","Rajinikanth's 'Coolie,' despite a star-studded cast and Lokesh Kanagaraj's direction, opened strong with ₹65 crore in India and crossed ₹100 crore worldwide. However, mixed reviews led to a drop in collections from day two. Despite the dip, the film managed t…",https://timesofindia.indiatimes.com/entertainment/tamil/movies/box-office/rajinikanths-coolie-crosses-rs-200-crore-on-monday-while-hrithik-roshan-jr-ntrs-war-2-sees-a-huge-drop/articleshow/123368995.cms,2025-08-18T16:42:12Z,8 simple habits that will help reduce stress on the eyes and improve vision naturally,0.0233898,2025-08-18 16:42:12+00:00,True,True
India,BBC News,Henry Moeran,women's hundred can't lose momentum with investment - sciver-brunt,England captain Nat Sciver-Brunt calls for growth in The Hundred women's competition to continue and is keen that momentum is not lost with the arrival of private investment.,https://www.bbc.com/sport/cricket/articles/czxy1zd08ezo,2025-08-18T16:39:49Z,"england captain nat sciver-brunt has called for growth in the hundred women's competition to continue, and is keen that momentum is not lost with the arrival of private investment in the tournament. … [+973 chars]",0.5754967,2025-08-18 16:39:49+00:00,False,False
India,Foreign Policy,Keith Johnson,how europe can pressure putin—without trump,"Now that Trump appears to have sworn off additional economic sanctions to push Russia into a cease-fire, Europe may have to go it alone.",http://foreignpolicy.com/2025/08/18/europe-putin-trump-russia-ukraine-defense/,2025-08-18T16:35:29Z,"u.s. president donald trump, fresh off his alaska meeting last week with russian president vladimir putin, seems to have cooled on the idea of pressuring moscow to end the war it started in ukraine, … [+5671 chars]",0.55635834,2025-08-18 16:35:29+00:00,False,False
